"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station"
100000647002,"BÖHD2","Böhne, Dorf",,"52.560321000000","12.303818000000",0,900000210047
100000647003,"BÖHD3","Böhne, Dorf",,"52.560321000000","12.303818000000",0,900000210047
100000656002,"NEDO2","Neufriedrichsdorf, B 188",,"52.605940000000","12.377658000000",0,900000210245
100000656101,"NEFR1","Neufriedrichsdorf, Mitte",,"52.604456000000","12.378044000000",0,900000210246
100000656501,"STDS1","Steckelsdorf, Steckelsdorfer See",,"52.609769000000","12.268658000000",0,900000210295
100000656601,"STDD1","Steckelsdorf, Dorf",,"52.605884000000","12.281609000000",0,900000210294
100000656602,"STDD2","Steckelsdorf, Dorf",,"52.605884000000","12.281609000000",0,900000210294
100000656701,"STDK1","Steckelsdorf, Kindergarten",,"52.604725000000","12.285351000000",0,900000210319
240000086411,"UPST11","Upstallstraße 11",,"52.430386000000","12.541481000000",0,900000275307
240000086511,"VBUP11","VBBr Betriebshof/Upstallstraße 11",,"52.430747000000","12.537339000000",0,900000275306
900000340756,"","Templin, Schmidtshof",,"53.138077000000","13.527388000000",1,
000005501413,"","Vac",,"47.803650000000","19.158435000000",0,
000008000079,"","Puttgarden(MS)",,"54.502050000000","11.227904000000",0,
000008001767,"","Emden Außenhafen",,"53.344470000000","7.186183000000",0,
000008001773,"","Emmerich",,"51.834282000000","6.255712000000",0,
000008001774,"","Emmerich(Gr)",,"51.901260000000","6.137361000000",0,
000008004669,"","Oldenburg(Holst)",,"54.283574000000","10.883223000000",0,
000008004903,"","Puttgarden",,"54.500945000000","11.227832000000",0,
000008012683,"","Prora",,"54.444988000000","13.564056000000",0,
000008012684,"","Prora Ost",,"54.430063000000","13.574521000000",0,
000008400071,"","Arnhem",,"51.984942000000","5.899541000000",0,
000008601031,"","Hoeje Taastrup st",,"55.649424000000","12.268777000000",0,
000008602903,"","Vordingborg st",,"55.010305000000","11.898878000000",0,
310001129401,"LBU","Burg (bei Magdeburg)",,"52.274892000000","11.841726000000",0,900000550062
900000215687,"","Perleberg, H.-Heine-Str.",,"53.069482000000","11.862262000000",1,
